sha,author,date,message,hour,day_of_week,day_num,is_weekend,is_late_night,is_after_hours,commit_frequency,date_day,daily_commits,commit_variability,sentiment,sentiment_magnitude,avg_sentiment,prev_sentiment,consecutive_negative,negative_streak,is_near_release,release_commit_density,burnout_risk_score,anomaly,burnout_risk_category
bf3b92ec450f8712c6faab28c5fb5a7f1a1accc8,Unknown,2024-07-19 09:13:49+00:00,separate mmdet from mmseg,9,Friday,4,FALSE,FALSE,FALSE,1,2024-07-19,1,0,0,0,0,,0,0,TRUE,1,3.6,-1,Moderate
49387172680c3edf753aa3bfd4ac0a45fdfdde17,activesoull,2024-07-10 11:17:19+00:00,delete,11,Wednesday,2,FALSE,FALSE,FALSE,62,2024-07-10,1,1.503329638,0,0,0.00672043,,0,0,TRUE,0.790322581,2.4,1,Low
b1203d4bbdd8f7088adde35babbe3795635dc39a,activesoull,2024-07-12 11:22:53+00:00,provide creds dict with non empty strings,11,Friday,4,FALSE,FALSE,FALSE,62,2024-07-12,2,1.503329638,-0.1,0.1,0.00672043,0,0,0,TRUE,0.790322581,2.4,1,Low
e1b51ccf2c5b5ea739476a28f68833254f4ee6d2,activesoull,2024-07-12 15:51:21+00:00,bumb libdeeplake to 0.0.135,15,Friday,4,FALSE,FALSE,FALSE,62,2024-07-12,2,1.503329638,0,0,0.00672043,-0.1,0,0,TRUE,0.790322581,2.4,1,Low
8c3348fc3fefa9a98e759bc01c97cf986d75ed52,activesoull,2024-07-15 08:37:54+00:00,docs reformat,8,Monday,0,FALSE,FALSE,FALSE,62,2024-07-15,1,1.503329638,0,0,0.00672043,0,0,0,TRUE,0.790322581,2.4,1,Low
7a6ac7030a6b71d05c43f278b7a2f73bd539884d,activesoull,2024-07-17 10:03:54+00:00,remove empty token check,10,Wednesday,2,FALSE,FALSE,FALSE,62,2024-07-17,3,1.503329638,-0.1,0.1,0.00672043,0,0,0,TRUE,0.790322581,2.4,1,Low
45439f2c885da7899781fa2e653e2b2c0fe094aa,activesoull,2024-07-17 10:31:30+00:00,move exception check logic from deeplake to libdeeplake,10,Wednesday,2,FALSE,FALSE,FALSE,62,2024-07-17,3,1.503329638,0,0,0.00672043,-0.1,0,0,TRUE,0.790322581,2.4,1,Low
ee3b2a6bc34c01dd7ceff042dbd9abbb2fff6b2d,activesoull,2024-07-17 12:01:01+00:00,remove unnacessary functionalities,12,Wednesday,2,FALSE,FALSE,FALSE,62,2024-07-17,3,1.503329638,0,0,0.00672043,0,0,0,TRUE,0.790322581,2.4,1,Low
a52f7d5a419f1b6203d974d159008193f5449222,activesoull,2024-07-18 07:56:38+00:00,fix images tensor name dict,7,Thursday,3,FALSE,FALSE,TRUE,62,2024-07-18,3,1.503329638,0,0,0.00672043,0,0,0,TRUE,0.790322581,2.4,1,Low
b65f2ff9be3dac4ca95a135e7eb2a4cbbc70bf38,activesoull,2024-07-18 09:59:07+00:00,fix linter,9,Thursday,3,FALSE,FALSE,FALSE,62,2024-07-18,3,1.503329638,0,0,0.00672043,0,0,0,TRUE,0.790322581,2.4,1,Low
965c0817a2ee699cacb6ab4dc26370de6c5a0b70,activesoull,2024-07-18 20:15:46+00:00,bump libdeeplake version to 0.0.136,20,Thursday,3,FALSE,FALSE,TRUE,62,2024-07-18,3,1.503329638,0,0,0.00672043,0,0,0,TRUE,0.790322581,2.4,1,Low
642fe87ef6ede006f4e7f0c0c56fe5e9f9022594,activesoull,2024-07-24 14:43:05+00:00,bump libdeeplake version to 0.0.137,14,Wednesday,2,FALSE,FALSE,FALSE,62,2024-07-24,1,1.503329638,0,0,0.00672043,0,0,0,TRUE,0.790322581,2.4,1,Low
c6597d07a895c3fda4c86c598e021c6e1a0af702,activesoull,2024-07-27 17:45:31+00:00,fix get_presigned_url for gcp,17,Saturday,5,TRUE,FALSE,FALSE,62,2024-07-27,2,1.503329638,0,0,0.00672043,0,0,0,TRUE,0.790322581,4,1,Moderate
40d849ebcd1ed11b522eeb09518d857a34d17077,activesoull,2024-07-27 17:49:50+00:00,fix get_presigned_url for gcp,17,Saturday,5,TRUE,FALSE,FALSE,62,2024-07-27,2,1.503329638,0,0,0.00672043,0,0,0,TRUE,0.790322581,4,1,Moderate
f69d55f3b1cdb53bc7e6d4078012d5c94c0ab629,activesoull,2024-07-29 04:54:27+00:00,creds update case handling,4,Monday,0,FALSE,TRUE,TRUE,62,2024-07-29,2,1.503329638,0,0,0.00672043,0,0,0,TRUE,0.790322581,6.8,-1,High
96d7025cfe93fde660fcd41e5735a242118fc51a,activesoull,2024-07-29 13:13:12+00:00,remove keys,13,Monday,0,FALSE,FALSE,FALSE,62,2024-07-29,2,1.503329638,0,0,0.00672043,0,0,0,TRUE,0.790322581,2.4,1,Low
d5fbbb944ef56a311d91f72057d8ce27cd771599,activesoull,2024-07-30 05:00:18+00:00,add urllib3's SSLError to the retriable errors list,5,Tuesday,1,FALSE,TRUE,TRUE,62,2024-07-30,2,1.503329638,0,0,0.00672043,0,0,0,TRUE,0.790322581,4.8,1,Moderate
2a80a529d35f686d1facc756ca847fe0d9bddede,activesoull,2024-07-30 17:18:15+00:00,bump libdeeplake version to 0.0.138,17,Tuesday,1,FALSE,FALSE,FALSE,62,2024-07-30,2,1.503329638,0,0,0.00672043,0,0,0,TRUE,0.790322581,2.4,1,Low
eba0d948b3dd4d23f4d3431d01024bb81ca8f8c4,activesoull,2024-08-06 09:22:21+00:00,fix linter,9,Tuesday,1,FALSE,FALSE,FALSE,62,2024-08-06,1,1.503329638,0,0,0.00672043,0,0,0,TRUE,0.790322581,2.4,1,Low
cbfcef32b74c70fa25a1f7466c7279a087f5c3f4,activesoull,2024-08-23 16:42:50+00:00,bump libdeeplake version to 0.0.139,16,Friday,4,FALSE,FALSE,FALSE,62,2024-08-23,1,1.503329638,0,0,0.00672043,0,0,0,TRUE,0.790322581,2.4,1,Low
64ad838acd6f5ed2f5a56eb5fa918f49cefbfb58,activesoull,2024-08-24 15:08:03+00:00,bump libdeeplake version to 0.0.139,15,Saturday,5,TRUE,FALSE,FALSE,62,2024-08-24,1,1.503329638,0,0,0.00672043,0,0,0,TRUE,0.790322581,6,-1,Moderate
0c339d060c0abc5952ce5db7061c242bfdb02815,activesoull,2024-08-26 13:34:33+00:00,Merge branch 'test_ld_139' of github.com:activeloopai/deeplake into ld_139,13,Monday,0,FALSE,FALSE,FALSE,62,2024-08-26,3,1.503329638,0,0,0.00672043,0,0,0,TRUE,0.790322581,2.4,1,Low
34a8280f25fb0cc023b1ecce766cb72e97253613,activesoull,2024-08-26 13:34:53+00:00,Merge branch 'inverted_index' of github.com:activeloopai/deeplake into ld_139,13,Monday,0,FALSE,FALSE,FALSE,62,2024-08-26,3,1.503329638,0,0,0.00672043,0,0,0,TRUE,0.790322581,2.4,1,Low
4cd3e110e4f981901590f1afca60bea28d6e6393,activesoull,2024-08-26 13:35:33+00:00,bump libdeeplake version to 0.0.140,13,Monday,0,FALSE,FALSE,FALSE,62,2024-08-26,3,1.503329638,0,0,0.00672043,0,0,0,TRUE,0.790322581,2.4,1,Low
fbb5c8269c3bb705c9c15c6e1974303509278962,activesoull,2024-08-27 14:49:52+00:00,bump libdeeplake version to 0.0.140,14,Tuesday,1,FALSE,FALSE,FALSE,62,2024-08-27,2,1.503329638,0,0,0.00672043,0,0,0,TRUE,0.790322581,2.4,1,Low
093a45765695dafdca14df702e5f5f564f9e46bd,activesoull,2024-08-27 14:51:59+00:00,mark test to rerun in case if the responses is not 200,14,Tuesday,1,FALSE,FALSE,FALSE,62,2024-08-27,2,1.503329638,0,0,0.00672043,0,0,0,TRUE,0.790322581,2.4,1,Low
311a7bcdac6de2eafe62cc451250f3e9850aa375,activesoull,2024-08-28 04:01:40+00:00,test,4,Wednesday,2,FALSE,TRUE,TRUE,62,2024-08-28,5,1.503329638,0,0,0.00672043,0,0,0,TRUE,0.790322581,4.8,1,Moderate
a2c7a37bc0d416dee5034dcef625e7cf231f6c5b,activesoull,2024-08-28 04:11:16+00:00,change queries path,4,Wednesday,2,FALSE,TRUE,TRUE,62,2024-08-28,5,1.503329638,0,0,0.00672043,0,0,0,TRUE,0.790322581,4.8,1,Moderate
87269edfd2eb8f6fcf460d3046209edd392b7722,activesoull,2024-08-28 04:40:43+00:00,fix,4,Wednesday,2,FALSE,TRUE,TRUE,62,2024-08-28,5,1.503329638,0,0,0.00672043,0,0,0,TRUE,0.790322581,4.8,1,Moderate
24bebf4f88968e3e1a5a2ead8d4489f91e19e4d1,activesoull,2024-08-28 07:52:27+00:00,clear tests,7,Wednesday,2,FALSE,FALSE,TRUE,62,2024-08-28,5,1.503329638,0.1,0.1,0.00672043,0,0,0,TRUE,0.790322581,2.4,1,Low
c797a780fe31214493c57293738e8b00007c7d77,activesoull,2024-08-28 12:01:38+00:00,mark flaky tests,12,Wednesday,2,FALSE,FALSE,FALSE,62,2024-08-28,5,1.503329638,0,0,0.00672043,0.1,0,0,TRUE,0.790322581,2.4,1,Low
6bf73a9e72a5222f64f51332ac75f6815c043496,activesoull,2024-09-03 16:07:06+00:00,bumb libdeeplake to 0.0.142,16,Tuesday,1,FALSE,FALSE,FALSE,62,2024-09-03,1,1.503329638,0,0,0.00672043,0,0,0,TRUE,0.790322581,2.4,1,Low
8d339fbab5ffc0dd583ddadf4feaf6d08c3343f6,activesoull,2024-09-11 07:17:30+00:00,changes to work with av 13.0.0,7,Wednesday,2,FALSE,FALSE,TRUE,62,2024-09-11,6,1.503329638,0,0,0.00672043,0,0,0,TRUE,0.790322581,4,1,Moderate
19acc9b773196d7b9361f6cc5e8aeeb115fd8566,activesoull,2024-09-11 08:38:13+00:00,fix,8,Wednesday,2,FALSE,FALSE,FALSE,62,2024-09-11,6,1.503329638,0,0,0.00672043,0,0,0,TRUE,0.790322581,4,1,Moderate
a6592b8b77ed2e2b6eaac9443e8b25d968f01f43,activesoull,2024-09-11 10:26:42+00:00,fix flaky,10,Wednesday,2,FALSE,FALSE,FALSE,62,2024-09-11,6,1.503329638,0,0,0.00672043,0,0,0,TRUE,0.790322581,4,1,Moderate
0bce30f87f1b5d35649f516cb1705734d0a9b4c1,activesoull,2024-09-11 13:03:37+00:00,test fix,13,Wednesday,2,FALSE,FALSE,FALSE,62,2024-09-11,6,1.503329638,0,0,0.00672043,0,0,0,TRUE,0.790322581,4,1,Moderate
e622d9686262c1850aaaddfcc5578b6a374ed584,activesoull,2024-09-11 14:36:45+00:00,make read_only,14,Wednesday,2,FALSE,FALSE,FALSE,62,2024-09-11,6,1.503329638,0,0,0.00672043,0,0,0,TRUE,0.790322581,4,1,Moderate
feeffcc5aa3ae2d78bc0903eb2a30b3eacf6460d,activesoull,2024-09-11 16:16:30+00:00,bump libdeeplake version to 0.0.145,16,Wednesday,2,FALSE,FALSE,FALSE,62,2024-09-11,6,1.503329638,0,0,0.00672043,0,0,0,TRUE,0.790322581,4,1,Moderate
5d27cdaa618d2f5182a95f800371fec4a2e8b5c1,activesoull,2024-09-12 07:44:17+00:00,fix incorrect local index detection,7,Thursday,3,FALSE,FALSE,TRUE,62,2024-09-12,4,1.503329638,0,0,0.00672043,0,0,0,FALSE,0.790322581,2.4,1,Low
2f5f998602654d044f20b2d18641d4e6965762e1,activesoull,2024-09-12 07:44:35+00:00,Merge branch 'main' of github.com:activeloopai/deeplake into ld_145,7,Thursday,3,FALSE,FALSE,TRUE,62,2024-09-12,4,1.503329638,0.166666667,0.166666667,0.00672043,0,0,0,FALSE,0.790322581,2.4,1,Low
f4031ae2aa51fe753cccf2b179824ad734219113,activesoull,2024-09-12 10:56:56+00:00,partial read for empty samples,10,Thursday,3,FALSE,FALSE,FALSE,62,2024-09-12,4,1.503329638,-0.1,0.1,0.00672043,0.166666667,0,0,FALSE,0.790322581,2.4,1,Low
74d31172982512da50fa414b7fefa7e530b13227,activesoull,2024-09-12 10:57:45+00:00,Merge branch 'main' of github.com:activeloopai/deeplake into invalid_corrupt_message,10,Thursday,3,FALSE,FALSE,FALSE,62,2024-09-12,4,1.503329638,0.166666667,0.166666667,0.00672043,-0.1,0,0,FALSE,0.790322581,2.4,1,Low
15dfad338920ca2e5de4a80df3a13443647a34ad,activesoull,2024-09-17 10:25:15+00:00,upgrade pillow,10,Tuesday,1,FALSE,FALSE,FALSE,62,2024-09-17,6,1.503329638,0,0,0.00672043,0.166666667,0,0,FALSE,0.790322581,4,1,Moderate
ec3d71eeca89b1958d595ac277f7d577c3fe0891,activesoull,2024-09-17 10:25:31+00:00,Merge branch 'main' of github.com:activeloopai/deeplake into invalid_corrupt_message,10,Tuesday,1,FALSE,FALSE,FALSE,62,2024-09-17,6,1.503329638,0.166666667,0.166666667,0.00672043,0,0,0,FALSE,0.790322581,4,1,Moderate
4f85bafbe4a94aefbfef768feca818708e6c54e1,activesoull,2024-09-17 10:54:39+00:00,upgrade pillow,10,Tuesday,1,FALSE,FALSE,FALSE,62,2024-09-17,6,1.503329638,0,0,0.00672043,0.166666667,0,0,FALSE,0.790322581,4,1,Moderate
e2edbbd9429b007b8368292886f49ae72d65e832,activesoull,2024-09-17 12:00:11+00:00,force mmcv requiriment,12,Tuesday,1,FALSE,FALSE,FALSE,62,2024-09-17,6,1.503329638,0,0,0.00672043,0,0,0,FALSE,0.790322581,4,1,Moderate
a8bdd83d0353626db28f13c84f8727c5f3d20c97,activesoull,2024-09-17 12:23:38+00:00,set torch version,12,Tuesday,1,FALSE,FALSE,FALSE,62,2024-09-17,6,1.503329638,0,0,0.00672043,0,0,0,FALSE,0.790322581,4,1,Moderate
bc58942cedd4d0708cae4a728bf515c3acc2e11e,activesoull,2024-09-17 13:04:42+00:00,set torch version back,13,Tuesday,1,FALSE,FALSE,FALSE,62,2024-09-17,6,1.503329638,0,0,0.00672043,0,0,0,FALSE,0.790322581,4,1,Moderate
92b881af4213507fcc8e36468f01826852a3bf34,activesoull,2024-09-18 08:16:03+00:00,handle paths which are ending with /,8,Wednesday,2,FALSE,FALSE,FALSE,62,2024-09-18,3,1.503329638,0,0,0.00672043,0,0,0,FALSE,0.790322581,2.4,1,Low
ec955b19b667bed0f0b2a7f4084ea40797ea8738,activesoull,2024-09-18 08:19:29+00:00,Merge branch 'main' of github.com:activeloopai/deeplake into invalid_corrupt_message,8,Wednesday,2,FALSE,FALSE,FALSE,62,2024-09-18,3,1.503329638,0.166666667,0.166666667,0.00672043,0,0,0,FALSE,0.790322581,2.4,1,Low
5a108939e0da7dcfcc02674197585950e38082f8,activesoull,2024-09-18 12:04:42+00:00,local storage,12,Wednesday,2,FALSE,FALSE,FALSE,62,2024-09-18,3,1.503329638,0,0,0.00672043,0.166666667,0,0,FALSE,0.790322581,2.4,1,Low
